nombre,pagina,x,y,w,h,contraste,saturacion,brillo,nota
terraza,85,0,380,902,428,1.15,1.05,0.98,Terraza del Shepheard's con la clientela en las mesas
recepcion,17,0,470,902,428,1.15,1.0,1.0,El leon encadenado y los camareros nubios
correos,17,0,180,902,428,1.15,1.0,1.0,Mostrador con fezes y gente esperando
pasillo,17,0,0,902,428,1.15,1.0,0.95,Interior concurrido: sirve de pasillo del hotel
restaurante,85,0,150,902,428,1.15,1.05,1.0,Mesas bajo la marquesina
habitacion,85,0,700,902,428,1.1,1.0,0.95,Rincon de mobiliario de mimbre
bar_largo,27,0,340,902,428,1.1,1.0,0.95,Gasparini sirviendo a una pelirroja junto al fuego
salon_isis,16,0,120,902,428,1.15,1.0,1.0,Mascarada: la mascara y el uniforme rojo
jardin,10,0,180,902,428,1.15,1.05,1.05,Exterior de piedra con luz alta
cocina,11,0,330,902,428,1.15,1.0,0.95,Interior de piedra con hombres trabajando
sotano_almacen,11,0,700,902,428,1.15,1.0,0.85,Piedra y sombras al fondo de la excavacion
sotano_pasillo,123,0,430,902,428,1.1,1.0,0.72,Figura con linterna ante un vano iluminado
sotano_palacio,11,0,60,902,428,1.3,0.85,0.72,Piedra labrada en penumbra: las ruinas de Ali Bey
sotano_escombros,41,0,230,902,428,1.25,0.95,1.02,Hombre rata en primer plano
viejo_templo,40,0,330,902,428,1.3,0.95,1.1,Gules y hombres rata entre columnas
mapa_plantas,91,0,0,902,1139,1.0,1.0,1.0,Plano de las plantas superiores
mapa_sotanos,106,0,0,902,1132,1.0,1.0,1.0,Plano de los sotanos
