archivo,tipo,uso,hora,personajes,foco,estado
recepcion,fondo,Recepcion y conserjeria,09:00-13:00,Clinton y huespedes,mostrador iluminado y leon secundario,aprobado
terraza,fondo,Terraza principal,09:00-13:00,camareros y huespedes,toldos y mesa al sol,aprobado
restaurante,fondo,Restaurante,11:00-13:00,comensales,escalera hacia cocina,aprobado
cocina,fondo,Cocina y servicio,09:00-13:00,Mahadni y pinches,mesa de trabajo y puerta antigua,aprobado
correos,fondo,Correos direccion y administracion,09:00-13:00,Thornhill,centralita y mostrador,aprobado
bar_largo,fondo,The Long Bar cerrado,09:00-13:00,ninguno,barra larga tras cristal,aprobado
salon_isis,fondo,Salon Isis y salon morisco,09:00-13:00,huespedes lejanos,fuente bajo balconada,aprobado
jardin,fondo,Jardin exterior,09:00-13:00,paseantes,quiosco y palmeras,aprobado
pasillo,fondo,Pasillos y escaleras,09:00-13:00,botones lejano,ascensor de rejilla,aprobado
habitacion,fondo,Habitaciones de huesped,09:00-13:00,ninguno,cama ventilador y luz de persiana,aprobado
sotano_almacen,fondo,Almacen del sotano,12:00-13:00,ninguno,charco estantes y salida,aprobado
sotano_pasillo,fondo,Pasillo intermedio,12:00-13:00,ninguno,rejilla levantada y salida,aprobado
sotano_palacio,fondo,Salon de Ali Bey,12:00-13:00,ninguno,armario pozo y caja,aprobado
sotano_escombros,fondo,Sala de escombros,12:00-13:00,ninguno,corredor lateral y derrumbe,aprobado
viejo_templo,fondo,Viejo Templo,12:15-13:00,ninguno,sarcofago cajas y salida,aprobado
salon_baile,fondo,Salon de baile,09:00-13:00,personal lejano,nave y escenario,aprobado
tienda_joyas,fondo,Tienda Merryweather,09:00-13:00,Merryweather,vitrina central,aprobado
tienda_cigarros,fondo,Estanco Sandoval,09:00-13:00,Sandoval,baules de cigarros,aprobado
tienda_moda_caballeros,fondo,Tienda Lords,09:00-13:00,Murphy,maniquies y probador,aprobado
tienda_moda_mujer,fondo,Le Petit France,09:00-13:00,Belanger,mesa de patronaje,aprobado
tienda_relojes,fondo,Relojeria Sechat,09:00-13:00,Lardinne,reloj central y vitrinas,aprobado
tienda_suvenires,fondo,Tienda de suvenires,09:00-13:00,Fontanarrosa,estanterias y mostrador,aprobado
mapa_plantas,mapa,Mapa funcional del hotel,09:00-13:00,ninguno,circulacion por plantas,aprobado
mapa_sotanos,mapa,Mapa funcional del subsuelo,12:00-13:00,ninguno,ruta salida peligro y templo,aprobado
escena_llegada_hall,escena,Llegada y registro,09:00,Edith Nadia Vance y Clinton,Clinton y la pluma,aprobado
escena_registro_lounpeen,escena,Registro de los Lounpeen,09:30,Dieter Olga y Clinton,rigidez frente a mirada exploratoria,aprobado
escena_behler,escena,Reunion de Behler,11:00,Edith Nadia Vance y Behler,panuelo bordado y tension,aprobado
escena_carter_weder,escena,Conversacion conspirativa,11:00-12:00,Carter y Weder,nervios frente a falsa cordialidad,aprobado
escena_weder_cocina,escena,Weder cruza la cocina,12:00,Weder y Mahadni,cuchillo abandonado y ruta abierta,aprobado
escena_umbral_sotano,escena,Umbral del sotano,12:00,Edith Nadia y Vance,escalera demasiado antigua,aprobado
escena_orejas,escena,Las orejas,12:15,investigadores y Mahadni,manos sombra y reaccion sin gore,aprobado
escena_disco_solar,escena,Revelacion del Disco Solar,12:30,Weder y Mahadni,disco salida y segundos para actuar,aprobado
escena_cierre_disco_weder,escena,Cierre Weder conserva el disco,12:35,Weder,paquete alejandose hacia la salida,aprobado
escena_cierre_disco_edith,escena,Cierre Edith conserva el disco,12:35,Edith,disco protegido y salida,aprobado
escena_cierre_disco_autoridad,escena,Cierre por autorizacion,12:35,Edith y Weder,papel firmado entre ambos,aprobado
escena_informe_nadia,escena,Informe reutilizable de Nadia,09:35-13:00,Edith y Nadia,cuaderno compartido y reencuentro,aprobado
escena_informe_vance,escena,Informe reutilizable de Vance,09:40-13:00,Edith y Vance,plano senalado y reencuentro,aprobado
edith,retrato,Panel de conversacion,09:00-13:00,Edith Harker,rostro y lazada roja,aprobado
nadia,retrato,Panel de conversacion,09:00-13:00,Nadia Farouk,rostro y broche dorado,aprobado
vance,retrato,Panel de conversacion,09:00-13:00,Samuel Vance,rostro y chaqueta marron,aprobado
behler,retrato,Panel de conversacion,11:00-12:00,Charles Behler,rostro y panuelo,aprobado
carter,retrato,Panel de conversacion,11:00-12:00,Howard Carter,rostro cansado,aprobado
weder,retrato,Panel de conversacion,11:00-13:00,Garth Weder,gafas redondas y pelo claro,aprobado
mahadni,retrato,Panel de conversacion,12:00-13:00,Mustafa ibn Mahadni,cabeza rapada y delantal,aprobado
olga,retrato,Panel de conversacion,09:30-13:00,Olga Lounpeen,pelo cobrizo y vestido granate,aprobado
dieter,retrato,Panel de conversacion,09:30-13:00,Dieter Lounpeen,rostro rigido y traje marron,aprobado
gasparini,retrato,Panel de conversacion,12:00-13:00,Gasparini,bigote y chaleco negro,aprobado
clinton,retrato,Panel de conversacion,09:00-13:00,Cleveland Clinton,bigote librea y llave,aprobado
edith,hoja,Continuidad de personaje,cualquiera,Edith Harker,frente perfil espalda y gestos,aprobado
nadia,hoja,Continuidad de personaje,cualquiera,Nadia Farouk,frente perfil espalda y gestos,aprobado
vance,hoja,Continuidad de personaje,cualquiera,Samuel Vance,frente perfil espalda y gestos,aprobado
behler,hoja,Continuidad de personaje,cualquiera,Charles Behler,frente perfil espalda y gestos,aprobado
carter,hoja,Continuidad de personaje,cualquiera,Howard Carter,frente perfil espalda y gestos,aprobado
weder,hoja,Continuidad de personaje,cualquiera,Garth Weder,frente perfil espalda y gestos,aprobado
mahadni,hoja,Continuidad de personaje,cualquiera,Mustafa ibn Mahadni,frente perfil espalda y gestos,aprobado
olga,hoja,Continuidad de personaje,cualquiera,Olga Lounpeen,frente perfil espalda y gestos,aprobado
dieter,hoja,Continuidad de personaje,cualquiera,Dieter Lounpeen,frente perfil espalda y gestos,aprobado
gasparini,hoja,Continuidad de personaje,cualquiera,Gasparini,frente perfil espalda y gestos,aprobado
